Accession,Release_Date,Species,Length,Sequence_Type,Nuc_Completeness,Genotype,Protein,Geo_Location,U_S__State,Host,Isolation_Source,Collection_Date,GenBank_Title
QHU36824,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"lung",2019-12-23,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81765,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81777,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81789,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81801,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIU81813,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36834,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36844,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36854,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"lung",2019-12-30,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36864,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"lung",2020-01-01,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHO62107,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-02,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QHO62112,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China",,Homo sapiens,"",2020-01-02,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ84580,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Thailand",,Homo sapiens,"",2020-01-08,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIS29982,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"China: Hubei, Wuhan",,Homo sapiens,"oronasopharynx",2020-01-10,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
